cibil__user,overdue_amount_ongoing,overdue_number_ongoing,funded_amount_ongoing,highest_fundamt_ongoing,total_loans_ongoing,total_emi_ongoing,total_current_due_ongoing,settle_12month
8,65570.0,4.0,45000.0,35000.0,4.0,6275.0,163619.0,1.0
11,36345.0,3.0,337798.0,300000.0,4.0,1397.0,172738.0,2.0
12,15864.0,2.0,845824.0,205000.0,11.0,9369.0,311405.0,1.0
23,381319.0,7.0,9809000.0,2000000.0,23.0,29976.0,5927019.0,1.0
25,0.0,0.0,221359.0,221359.0,1.0,0.0,13080.0,0.0
46,72471.0,3.0,13163958.0,6075389.0,20.0,80612.0,13019817.0,0.0
48,343818.0,12.0,1860526.0,490000.0,19.0,26114.0,1686880.0,2.0
51,39345.0,2.0,91500.0,48000.0,4.0,8588.0,138062.0,1.0
52,28860.0,2.0,1820000.0,1500000.0,8.0,25151.0,1712455.0,0.0
70,20265.0,2.0,2570934.0,668304.0,18.0,51018.0,2112850.0,0.0
71,0.0,0.0,9134000.0,8700000.0,5.0,123923.0,125330.0,0.0
72,0.0,0.0,920000.0,500000.0,4.0,6281.0,552425.0,1.0
84,21990.0,5.0,3091347.0,483515.0,28.0,56433.0,2015129.0,0.0
89,1021456.0,15.0,7186123.0,2938278.0,19.0,15083.0,8056216.0,10.0
90,365694.0,7.0,14421292.0,4000000.0,27.0,217729.0,11685155.0,1.0
93,4049.0,2.0,1060501.0,445000.0,12.0,21259.0,767611.0,0.0
96,0.0,0.0,1407000.0,840000.0,7.0,2453.0,756182.0,0.0
97,0.0,0.0,99590.0,50000.0,4.0,7620.0,77720.0,0.0
99,112217.0,9.0,853806.0,375000.0,11.0,9666.0,863200.0,0.0
103,243860.0,1.0,2402964.0,400000.0,19.0,48622.0,1579356.0,0.0
108,0.0,0.0,6100454.0,817781.0,62.0,140138.0,7570894.0,0.0
109,97754.0,5.0,3165742.0,610000.0,13.0,69963.0,1996081.0,4.0
111,122832.0,8.0,3705743.0,500000.0,26.0,18211.0,2934464.0,0.0
142,128522.0,11.0,1362505.0,350000.0,15.0,30110.0,1191719.0,1.0
145,8240.0,2.0,89241.0,72241.0,3.0,0.0,16017.0,0.0
148,192266.0,3.0,2493000.0,1235000.0,10.0,8051.0,2177880.0,0.0
151,46037.0,5.0,529000.0,363000.0,5.0,0.0,196909.0,1.0
161,63804.0,1.0,737800.0,470000.0,11.0,0.0,512991.0,1.0
162,52794.0,8.0,2164654.0,384769.0,31.0,86851.0,1279588.0,0.0
171,151058.0,5.0,150750.0,50000.0,5.0,10296.0,162768.0,1.0
192,705437.0,4.0,1230792.0,446000.0,17.0,19632.0,1005992.0,2.0
195,0.0,0.0,295000.0,290000.0,1.0,0.0,189000.0,0.0
205,31793.0,2.0,224341.0,100000.0,4.0,5936.0,174201.0,0.0
217,0.0,0.0,10582495.0,3210000.0,17.0,202860.0,9551304.0,1.0
221,1040.0,2.0,1677779.0,800000.0,13.0,36854.0,1173198.0,0.0
225,49632.0,3.0,23282424.0,6557760.0,28.0,169422.0,20534561.0,1.0
232,27859.0,3.0,39550.0,32050.0,5.0,0.0,59854.0,2.0
253,10014.0,1.0,370740.0,170000.0,2.0,0.0,45186.0,1.0
270,10869.0,3.0,1364665.0,370000.0,23.0,12411.0,1507551.0,0.0
272,10760.0,3.0,468134.0,414134.0,5.0,0.0,511401.0,0.0
273,275022.0,12.0,952380.0,377911.0,24.0,35184.0,1061873.0,0.0
282,172737.0,6.0,2286174.0,1200000.0,10.0,56496.0,1062722.0,0.0
283,0.0,0.0,1710300.0,1000000.0,6.0,0.0,1545163.0,0.0
287,7.0,1.0,325000.0,200000.0,5.0,20007.0,299261.0,0.0
292,21610.0,2.0,4540167.0,1004250.0,18.0,34279.0,2584040.0,0.0
301,131667.0,2.0,280400.0,200000.0,3.0,0.0,70417.0,2.0
310,49737.0,5.0,1102468.0,500000.0,9.0,0.0,1082111.0,0.0
311,3635.0,1.0,396018.0,190000.0,8.0,13437.0,292910.0,0.0
332,77187.0,4.0,386250.0,194250.0,4.0,6015.0,141606.0,1.0
338,16680.0,2.0,1641850.0,806000.0,13.0,18499.0,1192821.0,0.0
348,6065.0,2.0,842007.0,417307.0,2.0,0.0,99096.0,1.0
352,11209.0,5.0,76500.0,50000.0,9.0,1521.0,178432.0,0.0
357,0.0,0.0,298595.0,140000.0,8.0,9485.0,232441.0,0.0
364,0.0,0.0,101561.0,60000.0,10.0,21103.0,104791.0,0.0
371,7911.0,2.0,1029150.0,443000.0,7.0,11189.0,742699.0,0.0
384,1517.0,1.0,3099767.0,1651448.0,26.0,32729.0,3185284.0,0.0
396,25365.0,1.0,1230629.0,350000.0,9.0,3615.0,1022767.0,1.0
397,22750.0,3.0,833200.0,104605.0,29.0,21985.0,940500.0,0.0
406,15624.0,2.0,387999.0,300000.0,6.0,10000.0,202390.0,0.0
422,1068.0,1.0,2100670.0,452250.0,20.0,60551.0,1476066.0,0.0
423,291501.0,4.0,659416.0,246000.0,8.0,29895.0,319044.0,1.0
428,1894.0,2.0,320955.0,48000.0,18.0,66548.0,462531.0,0.0
431,1191.0,1.0,2269071.0,872071.0,12.0,29820.0,2052988.0,0.0
432,1014.0,1.0,172819.0,117186.0,3.0,0.0,126135.0,0.0
449,1768.0,1.0,379157.0,179076.0,10.0,13218.0,157728.0,0.0
459,774684.0,4.0,954424.0,465000.0,5.0,25740.0,806597.0,0.0
461,0.0,0.0,430000.0,300000.0,2.0,0.0,193707.0,1.0
463,139257.0,7.0,425160.0,170000.0,9.0,22131.0,235320.0,0.0
474,8352.0,1.0,1903375.0,1000000.0,9.0,51403.0,1596842.0,0.0
480,49460.0,3.0,3740500.0,2400000.0,9.0,25554.0,3117163.0,1.0
484,218666.0,9.0,1782015.0,469761.0,35.0,32388.0,2029817.0,0.0
486,0.0,0.0,1601967.0,332000.0,25.0,27591.0,1423932.0,0.0
489,168356.0,6.0,290760.0,150000.0,9.0,6771.0,201264.0,5.0
510,9469.0,3.0,419900.0,300000.0,8.0,7554.0,89488.0,0.0
514,12385.0,3.0,85000.0,30000.0,4.0,8606.0,101918.0,0.0
